token	corpus size	all contexts size	frequency	co-frequency	specificity
عن	44732	21391	494	342	21.72
عبارات	44732	21391	90	78	13.97
والتفاؤل	44732	21391	90	78	13.97
مقال	44732	21391	68	59	10.77
صورة	44732	21391	70	60	10.46
طول	44732	21391	35	33	8.37
كلمات	44732	21391	53	44	7.00
خواطر	44732	21391	48	40	6.50
أجمل	44732	21391	64	49	5.74
أقوال	44732	21391	37	31	5.26
فقدان	44732	21391	27	24	5.07
هو	44732	21391	229	141	5.07
كلام	44732	21391	35	29	4.78
قيل	44732	21391	29	25	4.77
نعمة	44732	21391	25	22	4.54
لولا	44732	21391	21	19	4.33
جميلة	44732	21391	27	23	4.26
الأزمات	44732	21391	17	16	4.18
الباب	44732	21391	12	12	3.85
صلة	44732	21391	19	17	3.78
ـ	44732	21391	19	17	3.78
بالله	44732	21391	131	82	3.65
خيبة	44732	21391	15	14	3.59
5	44732	21391	11	11	3.52
نفسية	44732	21391	18	16	3.51
فإن	44732	21391	84	55	3.35
النفسية	44732	21391	26	21	3.32
الصحة	44732	21391	17	15	3.24
كقوة	44732	21391	10	10	3.20
على	44732	21391	662	352	3.18
الإنسان	44732	21391	132	80	3.04
يعني	44732	21391	19	16	2.99
●	44732	21391	16	14	2.97
القدرة	44732	21391	21	17	2.80
يبعث	44732	21391	18	15	2.74
يصبح	44732	21391	12	11	2.73
حكم	44732	21391	28	21	2.63
عاش	44732	21391	8	8	2.56
أغلق،	44732	21391	8	8	2.56
والرجاء	44732	21391	8	8	2.56
وإنسانية	44732	21391	8	8	2.56
عدل	44732	21391	8	8	2.56
الامل	44732	21391	37	26	2.51
بـ	44732	21391	14	12	2.45
النفسي	44732	21391	14	12	2.45
تأثير	44732	21391	11	10	2.45
ذات	44732	21391	27	20	2.44
و	44732	21391	58	37	2.26
حجمها،	44732	21391	7	7	2.24
والأشياء	44732	21391	7	7	2.24
انفتح	44732	21391	7	7	2.24
الأول	44732	21391	21	16	2.23
النظر	44732	21391	33	23	2.23
فضيلة	44732	21391	13	11	2.20
فلسفة	44732	21391	13	11	2.20
النافذة	44732	21391	10	9	2.17
المظلوم	44732	21391	10	9	2.17
أمامه	44732	21391	10	9	2.17
رؤية	44732	21391	18	14	2.13
مفهوم	44732	21391	18	14	2.13
